"Iter. Id","na","nb","nk","Train MSE","Valid MSE"
"0","1","1","0","0.065921704686759","0.70420120269463"
"1","1","1","1","0.065646661643331","0.66986189662827"
"2","1","1","2","0.06513363647593","0.72261761239043"
"3","1","1","3","0.064583294024348","0.71400178863618"
"4","1","1","4","0.063900399578667","0.69168856101433"
"5","1","1","5","0.063531216980834","0.63461472686682"
"6","1","1","6","0.063722639306931","0.64049526551052"
"7","1","1","7","0.063178274404526","0.62084179740377"
"8","1","1","8","0.0631725764998","0.54788476681176"
"9","1","1","9","0.063098056445544","0.49747722218947"
"10","1","1","10","0.063570564457893","0.52032814328745"
"11","1","2","0","0.065646661643331","0.66986189662827"
"12","1","2","1","0.06513363647593","0.72261761239043"
"13","1","2","2","0.064583294024348","0.71400178863618"
"14","1","2","3","0.063900399578667","0.69168856101433"
"15","1","2","4","0.063531216980834","0.63461472686682"
"16","1","2","5","0.063722639306931","0.64049526551052"
"17","1","2","6","0.063178274404526","0.62084179740377"
"18","1","2","7","0.0631725764998","0.54788476681176"
"19","1","2","8","0.063098056445544","0.49747722218947"
"20","1","2","9","0.063570564457893","0.52032814328745"
"21","1","2","10","0.063765606725508","0.57241283992872"
"22","1","3","0","0.06513363647593","0.72261761239043"
"23","1","3","1","0.064583294024348","0.71400178863618"
"24","1","3","2","0.063900399578667","0.69168856101433"
"25","1","3","3","0.063531216980834","0.63461472686682"
"26","1","3","4","0.063722639306931","0.64049526551052"
"27","1","3","5","0.063178274404526","0.62084179740377"
"28","1","3","6","0.0631725764998","0.54788476681176"
"29","1","3","7","0.063098056445544","0.49747722218947"
"30","1","3","8","0.063570564457893","0.52032814328745"
"31","1","3","9","0.063765606725508","0.57241283992872"
"32","1","3","10","0.063018885755964","0.56067523889796"
"33","2","1","0","0.066216407897333","0.71298794619581"
"34","2","1","1","0.065773932658968","0.68156192604955"
"35","2","1","2","0.065129722183182","0.72752357565425"
"36","2","1","3","0.064603773607676","0.71283245582346"
"37","2","1","4","0.063968192814851","0.69248776271446"
"38","2","1","5","0.063663852885299","0.63975321725015"
"39","2","1","6","0.063845551674436","0.64913981274186"
"40","2","1","7","0.063295682358553","0.62935299658364"
"41","2","1","8","0.063301259377055","0.56400096163044"
"42","2","1","9","0.063224081299407","0.52121856174184"
"43","2","1","10","0.063675142831774","0.54648699027914"
"44","2","2","0","0.065773932658968","0.68156192604955"
"45","2","2","1","0.065129722183182","0.72752357565425"
"46","2","2","2","0.064603773607676","0.71283245582346"
"47","2","2","3","0.063968192814851","0.69248776271446"
"48","2","2","4","0.063663852885299","0.63975321725015"
"49","2","2","5","0.063845551674436","0.64913981274186"
"50","2","2","6","0.063295682358553","0.62935299658364"
"51","2","2","7","0.063301259377055","0.56400096163044"
"52","2","2","8","0.063224081299407","0.52121856174184"
"53","2","2","9","0.063675142831774","0.54648699027914"
"54","2","2","10","0.063759726471743","0.59244433302897"
"55","2","3","0","0.065129722183182","0.72752357565425"
"56","2","3","1","0.064603773607676","0.71283245582346"
"57","2","3","2","0.063968192814851","0.69248776271446"
"58","2","3","3","0.063663852885299","0.63975321725015"
"59","2","3","4","0.063845551674436","0.64913981274186"
"60","2","3","5","0.063295682358553","0.62935299658364"
"61","2","3","6","0.063301259377055","0.56400096163044"
"62","2","3","7","0.063224081299407","0.52121856174184"
"63","2","3","8","0.063675142831774","0.54648699027914"
"64","2","3","9","0.063759726471743","0.59244433302897"
"65","3","1","0","0.066725976513802","0.74139434296938"
"66","3","1","1","0.06624449431146","0.69727495803427"
"67","3","1","2","0.065637600282317","0.75281588275381"
"68","3","1","3","0.065163155418507","0.73963217474387"
"69","3","1","4","0.06462543892521","0.71821144740804"
